event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,FRA,3,81.71,19.5,47.4,14.81,1,bp,0.81,8.3,8.7,2,7op,0.98,8.0,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,DESMARAIS-GILBERT,2531811,CAN,16,69.68,15.52,42.4,11.76,1,bG,0.92,5.8,5.8,2,bp,0.81,8.0,7.9
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,VAILLANCOURT Elliot,2532513,CAN,9,76.63,17.25,44.6,14.78,1,7oG,1.01,8.2,8.2,2,7op,0.88,7.2,7.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,WOODS Cooper,2532161,AUS,13,74.73,16.82,44.5,13.41,1,bF,0.88,8.3,8.3,2,7op,0.88,6.9,7.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,AUS,6,76.83,17.57,43.4,15.86,1,bdF,1.05,8.0,7.9,2,7op,0.88,8.5,8.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,FRA,4,75.04,15.57,44.3,15.17,1,bF,0.88,9.1,8.7,2,10op,1.05,7.2,6.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,TOMITAKA Hinako,2532031,JPN,9,71.2,15.69,43.4,12.11,1,7op,0.98,6.3,5.8,2,bp,0.81,7.5,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,LI Ruilin,2537198,CHN,30,17.9,11.14,2.3,4.46,1,bp,0.81,2.1,2.1,2,bG,0.92,3.0,3.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,FRA,4,77.6,18.86,43.1,15.64,1,7oG,1.11,7.1,7.5,2,7op,0.98,7.6,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,CAN,1,85.37,17.04,50.6,17.73,1,bdF,1.05,8.5,8.7,2,10op,1.05,8.3,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,McDONALD Cole,2534511,USA,3,75.17,16.78,42.6,15.79,1,bdF,1.05,6.5,6.8,2,10op,1.05,8.5,8.3
